"Listado de Existencias		",,,,
"Reportes de inventario Fecha: 23/07/2025		",,,,
,,,,
"Codigo			","Nombre			",Modelo,Marca,
"010601013           		","CATETER # 20 ROSADO                                                                       		",CATETER                                                                                   ,NIPRO                                                                                     ,
"010601014           		","CATETER # 22 CELESTE                                                                      		",CATETER                                                                                   ,NIPRO                                                                                     ,
"010601015           		","GUANTE ESTERIL  NIPRO #7.5 M                                                              		",GUANTE                                                                                    ,NIPRO                                                                                     ,
"010601016           		","RECOLECTOR DE HECES X 1 ONZA                                                              		",RECOLECTOR DE HECES                                                                       ,VARIOS                                                                                    ,
"010601017           		","RECOLECTOR DE ORINA PARA UROCULTIVO X 4 ONZAS                                             		",RECOLECTOR DE ORINA                                                                       ,VARIOS                                                                                    ,
"010601018           		","RECOLECTOR DE ORINA PARA CAMA BOLSA                                                       		",RECOLECTOR DE ORINA                                                                       ,VARIOS                                                                                    ,
"010601019           		","RECOLECTOR DE ORINA PARA PIERNA BOLSA                                                     		",RECOLECTOR DE ORINA                                                                       ,VARIOS                                                                                    ,
"010601020           		","PARCHE PARA OJO NIÑO                                                                      		",PARCHE                                                                                    ,3M                                                                                        ,
"010601021           		","PARCHE PARA OJO ADULTO                                                                    		",PARCHE                                                                                    ,3M                                                                                        ,
"010601022           		","SONDA VESICAL # 16                                                                        		",SONDA                                                                                     ,NIPRO                                                                                     ,
"010601023           		","BAJA LENGUA DE MADERA X 100 UNIDADES                                                      		",BAJA LENGUA                                                                               ,VARIOS                                                                                    ,
"010601024           		","CATETER # 18 VERDE                                                                        		",CATETER                                                                                   ,NIPRO                                                                                     ,
"010601025           		","GUANTE DE LATEX NIPRO S X 50 PARES                                                        		",GUANTE                                                                                    ,NIPRO                                                                                     ,
"010601026           		","CATETER # 24 AMARILLO                                                                     		",CATETER                                                                                   ,NIPRO                                                                                     ,
"010601027           		","SELLO DE HEPARINA                                                                         		",SELLO DE HEPARINA                                                                         ,PRO-MEDIC                                                                                 ,
"010601028           		","MIGASA 6 X 10 YARDAS                                                                      		",GASA                                                                                      ,MIGASA                                                                                    ,
"010601029           		","PULMO AIR ESPACIADOR DE VOLUMEN                                                           		",ESPACIADOR DE VOLUMEN                                                                     ,GENERIX                                                                                   ,
"010601030           		","BIGOTERA NASAL PARA OXIGENO ADULTO                                                        		",BIGOTERA                                                                                  ,VARIOS                                                                                    ,
"010601031           		","BIGOTERA PEDIATRICA PARA OXIGENO 2.50                                                     		",BIGOTERA                                                                                  ,VARIOS                                                                                    ,
"010601032           		","MASCARILLA PARA NEBULIZADOR ADULTO KINMED                                                 		",MASCARILLA                                                                                ,NIPRO                                                                                     ,
"010601033           		","MASCARILLA PARA NEBULIZADOR PEDIATRICO JOHN BUNN                                          		",MASCARILLA                                                                                ,NIPRO                                                                                     ,
"010601034           		","GUANTE DE LATEX NIPRO L X 50 PARES                                                        		",GUANTE                                                                                    ,NIPRO                                                                                     ,
"010601035           		","KINESIO CLASSIC                                                                           		",TAPE KINESIO                                                                              ,VARIOS                                                                                    ,
"010601036           		","JERINGA NIPRO 3 ML 23 X 1                                                                 		",JERINGA                                                                                   ,NIPRO                                                                                     ,
"010601037           		","GORRO PARA ENFERMERA                                                                      		",GORRO                                                                                     ,VARIOS                                                                                    ,
"010601038           		","SONDA VESICAL # 20                                                                        		",SONDA                                                                                     ,NIPRO                                                                                     ,
"010601039           		","JERINGA NIPRO 3 ML 21 X 1                                                                 		",JERINGA                                                                                   ,NIPRO                                                                                     ,
"010601040           		","JERINGA NIPRO 3 ML 22 X 1 1/2                                                             		",JERINGA                                                                                   ,NIPRO                                                                                     ,
"010601041           		","JERINGA NIPRO 5 ML 21 X 1 1/2                                                             		",JERINGA                                                                                   ,NIPRO                                                                                     ,
"010601042           		","JERINGA NIPRO 50 ML SIN AGUJA PARA IRRIGACION                                             		",JERINGA                                                                                   ,NIPRO                                                                                     ,
"010601043           		","AGUJA NIPRO 22 G X 1 1/2 X 100 UNIDADES                                                   		",AGUJA                                                                                     ,NIPRO                                                                                     ,
"010601044           		","AGUJA NIPRO 23 G X 1 X 100 UNIDADES                                                       		",AGUJA                                                                                     ,NIPRO                                                                                     ,
"010601045           		","JERINGA TUBERCULINA NIPRO 27 G X 1/2 X 100 UNIDADES                                       		",JERINGA                                                                                   ,NIPRO                                                                                     ,
"010601046           		","JERINGA NIPRO 20 ML 21 X 1.1/2                                                            		",JERINGA                                                                                   ,NIPRO                                                                                     ,
"010601047           		","JERINGA NIPRO 3 ML 21 X 1 1/2                                                             		",JERINGA                                                                                   ,NIPRO                                                                                     ,
"010601048           		","JERINGA NIPRO 5 ML 22 X 1 1/2                                                             		",JERINGA                                                                                   ,NIPRO                                                                                     ,
"010601049           		","MASCARILLA ZEN CONTROL X 400 ML # 8016867000604                                           		",MASCARILLA                                                                                ,COPRODISA                                                                                 ,
"010601050           		","JERINGA NIPRO 10 ML 22 G X 1 1/2                                                          		",JERINGA                                                                                   ,NIPRO                                                                                     ,
"010601051           		","VENTI CHAMBER LACTANTE 3221                                                               		",ESPACIADOR DE VOLUMEN                                                                     ,AGEFINSA                                                                                  ,
"010601052           		","AGUJA NIPRO 21 G X 1 1/2 X 100 UNIDADES                                                   		",AGUJA                                                                                     ,NIPRO                                                                                     ,
"010601053           		","GUANTE ESTERIL SENSIMEDICAL # 7.5 M                                                       		",GUANTE                                                                                    ,VARIOS                                                                                    ,
"010601054           		","GUANTE ESTERIL SENSIMEDICAL TALLA L  X 50 PARES                                           		",GUANTE                                                                                    ,VARIOS                                                                                    ,
"010601055           		","JERINGA NIPRO 10 ML 21 X 1 1/2                                                            		",JERINGA                                                                                   ,NIPRO                                                                                     ,
"010601056           		","MASCARILLA N95                                                                            		",MASCARILLA                                                                                ,SUIZOS                                                                                    ,
"010601057           		","GUANTE SKINCARE LATEX M                                                                   		",GUANTE                                                                                    ,VARIOS                                                                                    ,
"010601058           		","NEBULIZADOR DEVILBISS HEALTH CARE                                                         		",NEBULIZADOR                                                                               ,LABORATORIOS BONIN                                                                        ,
"010601059           		","SUTURA CUTANEA MEDI-STRIPS                                                                		",SUTURA                                                                                    ,VARIOS                                                                                    ,
"010601060           		","OXIMETRO JZIKI BATERIAS                                                                   		",OXIMETRO                                                                                  ,VARIOS                                                                                    ,
"010601061           		","OXIMETRO RECARGABLE OSPORT                                                                		",OXIMETRO                                                                                  ,VARIOS                                                                                    ,
"010601062           		","GUANTE EXAMEN DE NITRILO AZUL X 50 PARES MEDIUM                                           		",GUANTE                                                                                    ,VARIOS                                                                                    ,
"010601063           		","GUANTE EXAMEN DE NITRILO NEGRO X 50 PARES MEDIUM                                          		",GUANTE                                                                                    ,VARIOS                                                                                    ,
"010601064           		","GUANTE SKINCARE LATEX S                                                                   		",GUANTE                                                                                    ,VARIOS                                                                                    ,
"010601065           		","GUANTE OPRUCARE TALLA S X 50 PARES                                                        		",GUANTE                                                                                    ,VARIOS                                                                                    ,
,,,,
"010701               CONVENIENCIA/ACCESORIOS ORTOPEDICOS/FITNESS Y ORTOPEDIA                         		",,,,
"010701001           		","CABESTRILLO TALLA S                                                                       		",CABESTRILLO                                                                               ,VARIOS                                                                                    ,
"010701002           		","CABESTRILLO TALLA SX INFANTIL                                                             		",CABESTRILLO                                                                               ,VARIOS                                                                                    ,
